product_name,product_price,product_image,product_url,product_brand
'Money Beast' High-Top-Sneakers,4.998,https://cdn-images.farfetch-contents.com/15/94/46/62/15944662_29762979_300.jpg,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-15543953.aspx,Philipp Plein
'Money Beast' High-Top-Sneakers,4.998,https://cdn-images.farfetch-contents.com/14/16/48/95/14164895_21073808_300.jpg,/de/shopping/men/philipp-plein-money-beast-high-top-sneakers-item-15541447.aspx,Philipp Plein
High-Top-Sneakers mit Nieten,4.998,https://cdn-images.farfetch-contents.com/14/16/48/95/14164895_21073806_300.jpg,/de/shopping/men/philipp-plein-high-top-sneakers-mit-nieten-item-15389098.aspx,Philipp Plein
'Air Jordan 1 Hi Retro' Sneakers,4.848,https://cdn-images.farfetch-contents.com/15/12/95/81/15129581_25707400_300.jpg,/de/shopping/men/jordan-air-jordan-1-hi-retro-sneakers-item-13157850.aspx,Jordan
'Air Jordan 10 Retro' Sneakers,4.838,https://cdn-images.farfetch-contents.com/15/12/95/81/15129581_25707403_300.jpg,/de/shopping/men/jordan-air-jordan-10-retro-sneakers-item-14271392.aspx,Jordan
'Dunk Premium' Sneakers,4.838,https://cdn-images.farfetch-contents.com/13/68/55/29/13685529_16443018_300.jpg,/de/shopping/men/nike-dunk-premium-sneakers-item-14268622.aspx,Nike
'SB Dunk Low Pro QS' Sneakers,4.838,https://cdn-images.farfetch-contents.com/13/68/55/29/13685529_16443019_300.jpg,/de/shopping/men/nike-sb-dunk-low-pro-qs-sneakers-item-14164997.aspx,Nike
Adidas x Pharrell Williams 'Human Race NMD' Sneakers,4.838,https://cdn-images.farfetch-contents.com/12/95/99/11/12959911_13486414_300.jpg,/de/shopping/men/adidas-adidas-x-pharrell-williams-human-race-nmd-sneakers-item-14164729.aspx,adidas
'The 10: Air Presto' Sneakers,4.838,https://cdn-images.farfetch-contents.com/12/95/99/11/12959911_13486415_300.jpg,/de/shopping/men/nike-x-off-white-the-10-air-presto-sneakers-item-12960234.aspx,Nike X Off-White
'Yeezy 750 Boost' High-Top-Sneakers,4.814,https://cdn-images.farfetch-contents.com/14/16/47/45/14164745_21073305_300.jpg,/de/shopping/men/adidas-yeezy-yeezy-750-boost-high-top-sneakers-item-14085973.aspx,adidas YEEZY
'SB Dunk Ben & Jerry's' Sneakers,4.533,https://cdn-images.farfetch-contents.com/14/16/47/45/14164745_21073306_300.jpg,/de/shopping/men/nike-sb-dunk-ben-jerrys-sneakers-item-15584229.aspx,Nike
'Air Jordan 5 Retro' Sneakers,4.517,https://cdn-images.farfetch-contents.com/15/69/66/39/15696639_28690743_300.jpg,/de/shopping/men/jordan-air-jordan-5-retro-sneakers-item-14477833.aspx,Jordan
Nike x Off-White 'Air Force 1' Sneakers,4.431,https://cdn-images.farfetch-contents.com/15/69/66/39/15696639_28690744_300.jpg,/de/shopping/men/nike-x-off-white-nike-x-off-white-air-force-1-sneakers-item-12960213.aspx,Nike X Off-White
Nike x Supreme 'Blazer SB' Sneakers,4.343,https://cdn-images.farfetch-contents.com/14/59/20/16/14592016_22383081_300.jpg,/de/shopping/men/nike-nike-x-supreme-blazer-sb-sneakers-item-15247420.aspx,Nike
'Dunk High Pro Ferris Bueller' Sneakers,4.343,https://cdn-images.farfetch-contents.com/14/59/20/16/14592016_22383089_300.jpg,/de/shopping/men/nike-dunk-high-pro-ferris-bueller-sneakers-item-15182331.aspx,Nike
'Dunk HI Retro CDG' High-Top-Sneakers,4.343,https://cdn-images.farfetch-contents.com/13/15/90/66/13159066_15156285_300.jpg,/de/shopping/men/nike-dunk-hi-retro-cdg-high-top-sneakers-item-14164740.aspx,Nike
'Air Jordan 4 Superman Retro' Sneakers,4.343,https://cdn-images.farfetch-contents.com/13/15/90/66/13159066_15156286_300.jpg,/de/shopping/men/jordan-air-jordan-4-superman-retro-sneakers-item-13812446.aspx,Jordan
'Air Jordan 4 Retro Kaws' Sneakers,4.343,https://cdn-images.farfetch-contents.com/14/50/35/63/14503563_22012176_300.jpg,/de/shopping/men/jordan-air-jordan-4-retro-kaws-sneakers-item-12959137.aspx,Jordan
